#RESOURCE=yCat_17330124
#Name: J/ApJ/733/124
#Title: Cepheids in M101 observed with HST (Shappee+, 2011)
#Table J_ApJ_733_124_cepheids:
#Name: J/ApJ/733/124/cepheids
#Title: Cepheid variables data  }
#---Details of Columns:
    Per (d)      (F10.6) Period [ucd=time.period]
    e_Per (d)    (F9.6)  Uncertainty in Per [ucd=stat.error]
    Vmag (mag)   (F6.3)  Mean HST V band magnitude [ucd=phot.mag;em.opt.V]
    e_Vmag (mag) (F6.3)  Uncertainty in Vmag [ucd=stat.error;phot.mag;em.opt.V]
---------- --------- ------ ------
Per(d)  e_Per(d)  V_mag(mag)  e_Vmag(mag)
 10.834000  0.117900  25.270  0.024
  7.790300  0.059800  25.389  0.027
 12.968500  0.138200  25.296  0.026
  8.555000  0.044800  25.375  0.022
  5.532800  0.052300  25.203  0.022
 16.507500  0.179400  25.168  0.027
  7.786600  0.065500  25.265  0.028
 10.406500  0.114800  25.318  0.024
  6.842900  0.073600  25.547  0.031
 14.089600  0.239900  25.187  0.026
  9.212700  0.128700  25.228  0.028
 13.334300  0.339300  25.721  0.044
  7.527600  0.109900  25.467  0.027
 11.904200  0.118100  25.430  0.026
  8.675500  0.126900  25.224  0.023
 13.959000  0.144400  25.383  0.021
  9.082600  0.259300  25.321  0.027
 10.976400  0.105700  25.489  0.033
  5.802900  0.045600  25.366  0.027
  8.176300  0.188300  25.314  0.054
  8.333700  0.051400  25.355  0.024
  8.284200  0.142500  25.381  0.029
  8.193300  0.155200  25.363  0.036
 11.084500  0.198200  25.303  0.024
  7.253100  0.063500  25.355  0.031
  5.006900  0.027400  25.365  0.024
  8.339400  0.049700  25.379  0.028
  8.794200  0.102500  25.393  0.032
 12.829000  0.191700  25.126  0.050
  8.295000  0.059500  25.320  0.025
  5.475200  0.038000  25.407  0.029
  7.378000  0.054600  25.297  0.028
 15.311500  0.479000  25.414  0.034
  7.335600  0.111400  25.488  0.029
  6.934500  0.062500  25.449  0.025
  6.396300  0.085600  25.579  0.034
  6.622300  0.041300  25.522  0.028
  6.738900  0.053700  25.447  0.030
  6.816200  0.073200  25.518  0.033
  6.472900  0.066900  25.529  0.024
  7.005500  0.099900  25.512  0.032
  6.337100  0.099200  25.477  0.034
  9.629400  0.109000  25.429  0.027
  6.716200  0.031300  25.700  0.036
  6.693600  0.039500  25.417  0.023
  8.769900  0.140300  25.399  0.025
  6.785700  0.083500  25.465  0.031
  8.056900  0.063800  25.552  0.030
  5.830700  0.026300  25.600  0.032
 13.954100  0.189300  25.407  0.026
  6.099300  0.030800  25.474  0.027
 14.371700  0.274800  25.436  0.041
 11.979900  0.176100  25.483  0.037
  7.179500  0.027100  25.395  0.026
 16.812800  0.473900  25.524  0.034
  7.624000  0.079900  25.512  0.026
  4.598100  0.073100  25.842  0.044
 14.224600  0.098700  25.516  0.030
  6.863300  0.053900  25.619  0.026
  3.355200  0.015500  25.789  0.046
  6.144900  0.037700  25.445  0.026
  8.227900  0.145200  25.420  0.029
  8.142500  0.049800  25.450  0.025
 10.070500  0.142800  25.516  0.030
  5.263100  0.051400  25.724  0.030
  7.642400  0.074200  25.616  0.032
  5.531900  0.038200  25.500  0.029
  6.177400  0.038000  25.609  0.029
  6.867100  0.095300  25.590  0.035
 11.615500  0.206400  25.493  0.089
  6.447800  0.075000  25.547  0.031
  6.466600  0.136600  25.536  0.059
  6.628700  0.034400  25.608  0.030
 12.295000  0.144600  25.593  0.029
  6.907500  0.074300  25.683  0.028
  6.547900  0.032200  25.596  0.027
  6.202900  0.062600  25.582  0.031
  5.334600  0.032400  25.657  0.030
  5.525200  0.053100  25.778  0.029
  6.321700  0.079200  25.740  0.061
  5.453300  0.023200  25.721  0.029
  6.573300  0.028900  25.491  0.026
  7.063400  0.058100  25.652  0.029
  6.486100  0.054900  25.736  0.045
  6.346600  0.050400  25.537  0.028
  6.192000  0.065500  25.576  0.031
  7.166400  0.079700  25.570  0.028
  8.412800  0.096600  25.656  0.029
  4.146700  0.009200  25.470  0.035
  5.856900  0.060800  25.559  0.029
  7.644800  0.071600  25.524  0.032
  6.647000  0.032700  25.599  0.031
  5.677000  0.051000  25.689  0.034
 13.967200  0.214900  25.704  0.043
  7.078700  0.037800  25.639  0.029
  6.139300  0.050900  25.664  0.030
  7.748500  0.116800  25.598  0.036
  5.977000  0.045000  25.929  0.038
  6.077300  0.050300  25.747  0.031
  5.352700  0.044300  25.775  0.036
  6.566100  0.039200  25.727  0.033
  5.878400  0.043100  25.646  0.035
 11.865400  0.149700  25.659  0.032
  5.800100  0.017700  25.717  0.032
  5.462700  0.019000  25.613  0.030
  8.969500  0.202600  25.766  0.036
  7.320500  0.105600  25.836  0.033
  6.091700  0.070500  25.855  0.044
  7.123900  0.047500  25.835  0.032
  6.208600  0.045700  25.736  0.031
  5.968500  0.054300  25.759  0.033
  5.654500  0.036600  25.833  0.030
  5.332100  0.051300  25.825  0.040
  6.072200  0.023400  25.809  0.035
  5.383700  0.033000  25.788  0.033
  4.539700  0.011100  25.940  0.039
  7.089500  0.114100  25.899  0.035
  5.820200  0.061300  25.806  0.035
  4.302200  0.036000  25.731  0.037
  3.086500  0.007100  25.892  0.044
  4.886500  0.026400  25.934  0.046
  6.359800  0.070100  25.872  0.035
  6.398100  0.057600  25.857  0.033
  4.775000  0.035600  25.971  0.039
  5.345800  0.030400  25.881  0.034
  6.726200  0.076300  25.826  0.050
  5.137300  0.056500  25.897  0.033
  4.823900  0.035400  25.842  0.032
  5.514000  0.018700  25.883  0.040
  4.847000  0.039700  25.842  0.032
  4.629900  0.025600  25.795  0.032
  5.338200  0.033800  25.995  0.038
  6.100600  0.084400  25.952  0.039
  5.483800  0.052100  25.991  0.043
  6.807100  0.085800  25.927  0.036
  5.481500  0.083600  25.929  0.047
  6.780800  0.063000  25.998  0.042
  3.968900  0.014900  25.942  0.042
  3.896200  0.039300  25.827  0.040
  5.962900  0.141700  25.574  0.087
  5.857700  0.037300  25.907  0.035
  4.072600  0.039200  25.974  0.042
  6.167800  0.052800  25.867  0.036
  5.057000  0.090400  25.920  0.044
  6.930500  0.075100  25.735  0.043
  6.564900  0.051700  25.873  0.037
  6.103100  0.059600  25.900  0.041
  4.395400  0.009800  25.930  0.040
  4.378700  0.041500  26.027  0.043
 13.781200  0.173100  25.621  0.046
  5.040400  0.049000  25.994  0.040
  6.394400  0.075600  26.017  0.042
  5.711100  0.131300  25.938  0.042
  6.959900  0.084300  25.905  0.043
  6.165000  0.084300  25.960  0.040
  7.214600  0.053700  25.972  0.045
  5.019400  0.051900  25.866  0.037
  4.063800  0.024500  26.035  0.041
  4.641700  0.043800  25.838  0.039
  4.295500  0.033400  26.253  0.052
  5.537200  0.108800  26.217  0.058
  5.417500  0.063200  25.993  0.047
  3.414800  0.009400  26.232  0.053
  4.293500  0.043200  26.000  0.046
  4.373600  0.018100  26.033  0.049
  3.017600  0.010600  26.219  0.047
  5.253900  0.086300  26.032  0.049
  3.643300  0.032900  26.345  0.047
  4.429200  0.028400  26.306  0.060
  3.596300  0.018000  26.357  0.047
  4.083100  0.028600  26.227  0.044
  8.462200  0.083200  26.396  0.076
  4.229100  0.042300  26.382  0.055
  7.183700  0.060500  26.258  0.053
  4.811100  0.058300  26.161  0.077
  5.263300  0.059500  26.600  0.065
  5.157700  0.059700  26.549  0.059
  4.000800  0.018100  26.933  0.193
