#RESOURCE=yCat_17330124
#Name: J/ApJ/733/124
#Title: Cepheids in M101 observed with HST (Shappee+, 2011)
#Table J_ApJ_733_124_cepheids:
#Name: J/ApJ/733/124/cepheids
#Title: Cepheid variables data  }
#---Details of Columns:
    Per (d)      (F10.6) Period [ucd=time.period]
    e_Per (d)    (F9.6)  Uncertainty in Per [ucd=stat.error]
    Vmag (mag)   (F6.3)  Mean HST V band magnitude [ucd=phot.mag;em.opt.V]
    e_Vmag (mag) (F6.3)  Uncertainty in Vmag [ucd=stat.error;phot.mag;em.opt.V]
---------- --------- ------ ------
Per(d)  e_Per(d)  V_mag(mag)  e_Vmag(mag)
 18.833500  0.188400  24.787  0.023
 16.074900  0.254600  24.950  0.023
  6.283800  0.061300  24.894  0.016
 16.223600  0.496600  24.858  0.027
 11.343300  0.103300  24.887  0.020
 13.793500  0.298000  25.517  0.037
 11.718600  0.189700  24.756  0.023
 16.291600  0.178100  24.877  0.019
 12.145900  0.122800  24.841  0.020
 10.607100  0.134000  25.023  0.022
 21.501400  0.560200  24.805  0.020
 10.603000  0.103500  24.960  0.024
 14.952500  0.163900  24.895  0.025
 10.103000  0.069400  24.996  0.017
 11.187000  0.116400  25.049  0.019
 10.849400  0.087600  25.731  0.054
 14.844900  0.224800  24.839  0.026
 10.179500  0.105700  24.962  0.020
 18.954900  0.593300  25.103  0.027
 12.139600  0.231800  25.005  0.030
 13.641700  0.151800  24.965  0.022
 16.526900  0.405600  25.018  0.024
  9.840600  0.061700  24.976  0.018
 12.418900  0.183600  25.033  0.030
  7.429100  0.048600  24.926  0.022
 11.537300  0.112100  24.998  0.023
 14.280200  0.191200  24.936  0.020
 19.519400  1.295500  24.895  0.033
  6.515600  0.020500  25.221  0.020
 10.081000  0.102900  25.026  0.023
 17.130600  0.323100  24.940  0.020
 10.967200  0.234500  25.020  0.026
 14.333400  0.193800  25.017  0.024
  5.337000  0.074700  25.061  0.022
 15.420700  0.201600  25.150  0.027
 12.052900  0.083600  25.150  0.020
 16.126400  0.173100  24.978  0.019
 11.361800  0.083800  25.121  0.021
  9.879200  0.051100  25.090  0.019
 10.769100  0.109200  25.023  0.022
  8.164700  0.055400  25.175  0.023
 17.810900  0.249700  25.037  0.021
 15.709700  0.191400  24.986  0.024
 16.752500  0.163900  25.145  0.026
  8.106200  0.072000  25.169  0.020
  6.027700  0.035200  25.092  0.021
 11.715200  0.155700  24.998  0.021
  8.775300  0.115400  25.064  0.022
 18.994100  0.563200  24.975  0.023
 19.282100  0.653300  24.976  0.026
 16.131400  0.099300  25.092  0.019
 12.520200  0.100300  24.991  0.024
 18.043800  0.308500  24.882  0.021
  7.432200  0.068500  25.060  0.021
  8.274500  0.063000  25.102  0.022
 12.907800  0.113800  25.136  0.021
  9.147600  0.076000  25.119  0.025
 11.768600  0.094400  25.103  0.022
 11.751600  0.143900  25.172  0.035
  9.972900  0.067400  25.110  0.023
 12.470200  0.101900  25.046  0.020
  8.093900  0.038100  25.166  0.019
  3.986800  0.020400  25.233  0.021
 18.966900  0.235400  24.957  0.032
 15.228700  0.129400  25.211  0.029
 12.882700  0.157300  25.154  0.025
  9.323500  0.093100  25.179  0.023
 10.597000  0.138200  25.304  0.023
 15.991800  0.169600  24.979  0.024
  7.944900  0.080000  25.191  0.026
 12.042800  0.061300  25.145  0.021
  7.506100  0.069300  25.196  0.025
  8.629700  0.031000  25.101  0.021
 12.323100  0.150700  25.071  0.022
 19.452000  0.560500  25.228  0.050
 12.026200  0.205900  25.076  0.024
  7.640600  0.046000  25.255  0.019
 16.139300  0.139300  25.036  0.019
  9.265700  0.244500  25.289  0.024
  7.264100  0.031400  25.287  0.026
 15.382800  0.232800  25.223  0.026
 10.944000  0.134700  25.122  0.022
  8.917800  0.115900  25.251  0.027
  7.727200  0.059900  25.878  0.047
  7.784900  0.048100  25.206  0.021
  9.715000  0.113900  25.083  0.027
 10.572100  0.117100  25.281  0.022
 11.578800  0.138600  25.288  0.023
  7.418700  0.074900  25.344  0.023
  7.398700  0.087600  25.153  0.035
 10.569500  0.140900  25.269  0.026
  7.121800  0.037800  25.194  0.024
  7.014900  0.053400  25.362  0.023
  4.396000  0.066200  25.287  0.022
 10.029500  0.091100  25.238  0.022
  7.040800  0.038100  25.349  0.027
 17.175300  0.186900  25.225  0.026
  6.930600  0.060200  25.338  0.023
  7.668200  0.073500  25.327  0.022
  6.803300  0.066900  25.388  0.025
  9.895800  0.109600  25.241  0.027
  8.324900  0.053100  25.334  0.025
  4.009900  0.032100  25.379  0.021
  6.893800  0.062200  25.497  0.024
  4.989400  0.049700  25.259  0.023
  6.131900  0.025500  25.363  0.024
  5.244800  0.023700  25.454  0.025
  4.582000  0.027000  25.387  0.027
 12.370500  0.240900  25.203  0.031
  6.427300  0.019200  25.394  0.020
  9.966300  0.222500  25.267  0.036
  7.804500  0.066200  25.350  0.029
  7.999200  0.056700  25.359  0.023
 12.062900  0.181000  25.317  0.031
  6.422800  0.034300  25.370  0.025
  6.430000  0.035100  25.295  0.027
  6.808800  0.048500  25.475  0.025
  7.652400  0.077600  25.459  0.032
  7.638300  0.084300  25.378  0.025
  6.764500  0.066900  25.448  0.026
  7.148100  0.102800  25.452  0.024
  8.637200  0.046400  25.378  0.023
  6.535500  0.040600  25.440  0.027
  9.481900  0.142300  25.343  0.029
 11.266900  0.193700  25.329  0.026
 11.393100  0.162800  25.443  0.032
  7.806900  0.211800  25.637  0.033
  8.892900  0.118500  25.581  0.030
  6.334800  0.056400  25.361  0.028
 10.071200  0.180900  25.375  0.025
  7.743800  0.072700  25.432  0.030
  7.752400  0.151000  25.389  0.035
  8.250700  0.060500  25.400  0.027
 12.001600  0.119500  25.242  0.032
 10.086800  0.182900  25.398  0.025
  5.589700  0.048900  25.510  0.027
