MasterID,Mag,Magerr,RA,Dec,MJD,Blend
2101006004747,17.91,0.07, 5.76315, 1.25939,53708.11623,0
2101006004747,17.90,0.07, 5.76315, 1.25939,53708.12282,0
2101006004747,17.87,0.07, 5.76311, 1.25937,53708.12941,0
2101006004747,17.89,0.07, 5.76313, 1.25937,53708.13601,0
2101006004747,17.92,0.07, 5.76311, 1.25936,53729.08930,0
2101006004747,17.89,0.07, 5.76313, 1.25939,53703.14830,0
2101006004747,17.95,0.07, 5.76313, 1.25939,53703.15657,0
2101006004747,17.87,0.07, 5.76318, 1.25939,53703.16518,0
2101006004747,17.95,0.07, 5.76318, 1.25939,53703.17347,0
2101006004747,17.89,0.07, 5.76313, 1.25940,53644.23851,0
2101006004747,17.86,0.07, 5.76314, 1.25940,53644.24526,0
2101006004747,17.83,0.07, 5.76314, 1.25939,53644.25206,0
2101006004747,17.85,0.07, 5.76314, 1.25941,53644.25878,0
2101006004747,17.87,0.07, 5.76327, 1.25945,53669.22791,0
2101006004747,17.89,0.07, 5.76325, 1.25945,53669.23324,0
2101006004747,17.92,0.07, 5.76326, 1.25943,53669.23860,0
2101006004747,17.90,0.07, 5.76327, 1.25943,53669.24396,0
2101006004747,18.29,0.08, 5.76317, 1.25937,54091.11650,0
2101006004747,18.21,0.08, 5.76315, 1.25936,54091.12311,0
2101006004747,18.28,0.08, 5.76313, 1.25937,54091.12973,0
2101006004747,18.22,0.08, 5.76315, 1.25941,54091.13641,0
2101006004747,17.74,0.07, 5.76329, 1.25934,53744.11722,0
2101006004747,17.89,0.07, 5.76316, 1.25941,53744.12534,0
2101006004747,18.13,0.07, 5.76318, 1.25922,53744.13334,0
2101006004747,18.22,0.08, 5.76326, 1.25933,53744.14030,0
2101006004747,18.21,0.08, 5.76313, 1.25938,54053.13414,0
2101006004747,18.26,0.08, 5.76313, 1.25933,54053.14362,0
2101006004747,18.13,0.07, 5.76313, 1.25940,54053.15313,0
2101006004747,18.17,0.08, 5.76314, 1.25935,54053.16256,0
2101006004747,18.19,0.08, 5.76313, 1.25936,54035.19737,0
2101006004747,18.17,0.08, 5.76314, 1.25938,54035.20788,0
2101006004747,18.17,0.08, 5.76314, 1.25936,54035.21882,0
2101006004747,18.17,0.08, 5.76315, 1.25939,54035.22892,0
2101006004747,18.11,0.07, 5.76317, 1.25939,54003.32780,0
2101006004747,18.11,0.07, 5.76315, 1.25940,54003.33490,0
2101006004747,18.10,0.07, 5.76315, 1.25937,54003.34117,0
2101006004747,18.12,0.07, 5.76315, 1.25935,54003.34748,0
2101006004747,18.14,0.07, 5.76328, 1.25943,54438.15988,0
2101006004747,18.15,0.07, 5.76329, 1.25940,54438.16646,0
2101006004747,18.18,0.07, 5.76328, 1.25939,54438.17303,0
2101006004747,18.16,0.07, 5.76328, 1.25941,54438.17962,0
2101006004747,18.16,0.08, 5.76328, 1.25940,54455.07800,0
2101006004747,18.15,0.08, 5.76326, 1.25940,54455.08602,0
2101006004747,18.08,0.08, 5.76328, 1.25943,54455.09417,0
2101006004747,18.09,0.08, 5.76325, 1.25937,54455.10221,0
2101006004747,18.24,0.08, 5.76318, 1.25939,54110.10637,0
2101006004747,18.24,0.08, 5.76318, 1.25936,54110.11149,0
2101006004747,18.30,0.08, 5.76314, 1.25938,54110.11655,0
2101006004747,18.30,0.08, 5.76317, 1.25937,54110.12166,0
2101006004747,18.10,0.07, 5.76325, 1.25946,54409.18167,0
2101006004747,18.15,0.07, 5.76327, 1.25942,54409.18914,0
2101006004747,18.20,0.07, 5.76326, 1.25942,54409.19669,0
2101006004747,18.22,0.07, 5.76327, 1.25944,54409.20417,0
2101006004747,18.23,0.07, 5.76324, 1.25943,54380.24276,0
2101006004747,18.25,0.08, 5.76326, 1.25942,54380.24825,0
2101006004747,18.22,0.07, 5.76314, 1.25938,54380.25376,0
2101006004747,18.19,0.07, 5.76324, 1.25942,54381.26821,0
2101006004747,18.19,0.07, 5.76326, 1.25943,54381.27504,0
