      141.448      139.944      139.913      142.141      158.090      172.383      157.905      161.220      229.573      318.318
      140.974      139.926      139.260      142.110      154.329      157.913      154.465      160.167      212.612      316.006
      139.560      140.234      140.010      142.684      146.036      146.813      149.535      154.471      167.120      203.061
      139.834      141.617      142.480      146.963      149.305      147.343      145.452      146.230      148.694      153.977
      143.361      148.209      150.920      149.634      152.664      152.794      148.834      147.125      148.331      157.254
      145.998      162.759      165.992      168.236      175.657      175.799      161.962      150.067      150.840      158.215
      151.193      154.221      162.902      218.629      267.252      303.337      225.320      166.023      150.621      146.570
      156.129      153.114      163.809      223.212      587.542      985.357      383.480      190.063      154.111      146.381
      160.533      169.448      174.549      204.320      488.213      825.326      322.917      189.077      154.326      146.986
      185.261      272.378      205.164      167.704      184.634      202.949      191.359      171.704      151.488      146.696
      187.001      257.375      185.064      156.734      159.812      162.691      157.051      149.019      149.615      149.611
      148.977      153.934      150.384      151.000      160.224      152.402      147.865      149.374      156.788      158.721
      152.273      146.115      145.961      148.102      156.249      151.394      150.441      151.429      152.516      150.071
      180.403      158.695      145.188      143.384      145.719      147.273      147.256      150.613      151.547      154.977
      211.596      171.242      148.732      143.883      148.540      153.577      168.523      176.492      168.734      157.974
