      108.422      106.588      106.276      107.211      121.859      138.799      124.092      126.432      189.219      270.966
      107.556      106.095      105.749      107.671      119.372      123.435      121.209      124.629      181.020      288.637
      106.139      106.712      106.383      108.003      110.424      111.854      116.847      120.996      135.556      177.976
      106.100      107.134      108.951      112.230      113.843      112.509      111.718      111.444      113.586      119.296
      109.446      113.974      116.406      114.621      115.963      116.756      114.577      113.004      112.367      121.158
      113.038      129.408      132.815      130.453      136.333      138.373      125.995      114.789      114.883      123.203
      117.138      120.924      128.916      180.598      218.860      245.574      183.475      128.599      114.299      111.494
      121.056      119.297      129.607      187.921      513.022      865.663      328.972      154.698      117.637      110.481
      127.530      132.759      140.325      175.515      502.105      885.948      306.241      154.309      118.917      112.140
      147.074      225.049      166.509      134.123      153.917      179.977      163.568      139.947      116.775      111.432
      157.497      235.651      155.700      122.769      125.079      129.207      123.842      114.562      112.924      113.000
      116.346      122.562      117.495      116.574      123.656      117.126      113.874      113.363      120.631      123.249
      117.742      111.685      111.369      114.057      121.594      115.936      116.922      116.416      116.896      115.212
      145.719      123.353      111.908      109.016      110.080      112.224      113.513      114.861      115.041      118.947
      171.759      136.862      114.503      109.153      112.129      117.051      130.570      137.273      129.939      123.149
